Markdown语法,由Markdown处理器产生的HTML,浏览器显示效果,Property
# 一级标题,<h1\>一级标题</h1\>,<h1>一级标题</h1>,
## 二级标题,<h1\>二级标题</h1\>,<h2>二级标题</h2>,
段落以空白行分隔。,<p\>段落以空白行分隔。</p\>,<p>段落以空白行分隔。</p>,
行末两个空格  产生断行。,<p\>行末两个空格<br /\>产生断行。</p\>,<p>行末两个空格<br />产生断行。</p>,
文本属性：\斜体\、\\粗体\\、\等宽字型Monospace\\。,<p\>文本属性：<em\>斜体</em\>、<strong\>粗体</strong\>、<code\>等宽字型Monospace</code\>。</p>,<p>文本属性：<em>斜体</em>、<strong>粗体</strong>、<code>等宽字型Monospace</code>。</p>,
水平线：<br />---,<hr /\>,<hr />,
列表：<br />  * 张三<br />  * 李四<br />  * 王二,<ul\><br /><li\>张三</li\><br /><li\>李四</li\><br /><li\>王二</li\><br /></ul\>,<ul><li>张三</li><li>李四</li><li>王二</li></ul>,
编号列表：<br />  1. 不论<br />  2. 三七<br />  3. 二十一,<ol\><br /><li\>不论</li\><br /><li\>三七</li\><br /><li\>二十一</li\><br /></ol\>,<ol><li>不论</li><li>三七</li><li>二十一</li></ol>,
\[链接\]\(http://baidu.com/\),"<p\>\<a href=""http://example.com/""\>链接</a\></p\>",http://baidu.com/,
!\https://i.loli.net/2021/11/11/fkdTKgDGzEnePyF.png,"<p\><img alt=""图"" title=""icon"" src=""https://i.loli.net/2021/11/11/fkdTKgDGzEnePyF.png"" /\></p\>",,
"> Markdown使用"">""来引用。","<blockquote\><br /><p\>Markdown使用"">""来引用。</p\><br /></blockquote\>","<blockquote><p>Markdown使用"">""来引用。</p></blockquote>",
"行间<abbr title=""Hypertext Markup Language""\>HTML</abbr\>也支持。","<p\>行间<abbr title=""Hypertext Markup Language""\>HTML</abbr\>也支持。</p\>","行间<abbr title=""Hypertext Markup Language"">HTML</abbr>也支持。",
,,,
